module_code,module_name,verdict,critical_count,major_count,minor_count,total_issues,math_correct,reproducibility,config_verified,notes
A1,"method_d_proof.py + method_d_theory.py",MINOR,0,0,3,3,PASS,PASS,864,"Seed offset inconsistency between files"
A2,"anytime_theory.py",MINOR,0,1,2,3,PASS w/warning,PASS,1800,"Alpha mismatch (0.6 vs 1.0) - MAJOR issue"
B1,"method_d_ablation.py",MINOR,0,0,4,4,PASS,PASS,648,"6 configs failed (0.93% failure rate)"
C1,"scripts_review.py",PASS,0,0,0,0,N/A,PASS,N/A,"No issues found - comprehensive tool"
D1,"accord_backend.py + 4 backends",MINOR,0,1,3,4,PASS,PASS,N/A,"Lazy import path error - MAJOR issue"

,OVERALL SUMMARY,0,2,12,14,"All code runs, no critical bugs","","",""

key_bugs,"",,,,,,,
A2:285,"Alpha parameter mismatch: compression_error uses alpha=0.6, evaluate_cascade uses alpha=1.0","","","","","","",""
D1:146,"Lazy import path error: from backends.flash_attn vs correct path","","","","","","",""
